基于可比语料库的英语“形容词+动词er”结构和汉语“…者”等结构的语义及用法对比研究,创新训练项目,大连理工大学,文学,文学,2019/5/31,10000,2
普京执政后俄罗斯大学历史教科书对斯大林评价的反思,创新训练项目,大连理工大学,文学,文学,2019/5/31,10000,1
基于复杂网络的大数据聚类分析方法,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
基于隧道挖掘机运行参数的机器学习算法研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,1
成比例风险模型的学习与应用,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
关于稳态Navier-Stokes方程的一些遗留问题的研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,2
概率密度函数逼近方法研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,2
计算机博弈机器人平台设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
仿生机械手研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
乐器与音乐情感表达的可视化,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
智能一体化课堂分析与状态监测,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
管道巡查柔性机器人,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
仿生水母,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
室外视觉辅助系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
二手书共享平台,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于最小能耗原理的四轮差速器,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
智能微型电网控制系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于深度学习的太阳射电频谱图像的爆发类型识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于表示学习的知识库问答研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
中医望诊智能系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
多功能蜗居老人安保装置设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于计算机视觉的食品图像自动识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
电磁波方法眼球追踪,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于电竞大数据分析的moba类游戏BP策略推荐,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于强化学习的机器人抓取技术研究与实现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
水下传感器网络优化部署建模与节点设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于DSP单目标跟踪系统的设计与实现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
近电报警手环的设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
多功能药盒控制器设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
可穿戴微流体生物传感贴片数据采集系统设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
面向图像的AI情感分析研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于3D打印的小动物分子成像体模研制,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
黄芩素与阿卡波糖协同防治糖尿病的肠道菌群机制,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
除草剂阿特拉津的农田—河流污染过程模拟研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
新型甜味剂阿洛酮糖的高效生产,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
粘弹性流体中气泡上升行为和传质规律研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
幂律型流体中气泡羽流附壁效应研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
Cl引发有机污染物形成高度氧化多官能团有机化合物的分子机制研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
基于分子印迹电化学传感器的抗生素高通量分析方法研究名,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
CO2电化学还原阴极催化剂的研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
含NAD+活性中心的金属-有机框架的构筑,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
